School,Img,Name,Rarity,Type,Target,Formula,Multiplier,Element,Time,Effects,Counter,Auto Target,SB,Uses,Max,Orb 1 Required,1-R1,1-R2,1-R3,1-R4,1-R5,Orb 2 Required,2-R1,2-R2,2-R3,2-R4,2-R5,Orb 3 Required,3-R1,3-R2,3-R3,3-R4,3-R5,Orb 4 Required,4-R1,4-R2,4-R3,4-R4,4-R5,Introducing Event,Name (JP),ID
Black Magic,,Fire,1,BLK,Single,Magical,1.50,Fire,1.8,One single attack (1.50),Y,Lowest HP% enemy,55.0,2.0,10.0,Minor Black,3,5,10,20,30,Minor Fire,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ファイア,30111001.0
Black Magic,,Fira,2,BLK,Single,Magical,2.90,Fire,1.8,One single attack (2.90),Y,Lowest HP% enemy,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Fire,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,ファイラ,30111002.0
Black Magic,,Firaga,3,BLK,Single,Magical,4.90,Fire,1.8,One single attack (4.90),Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Fire,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #2,ファイガ,30111003.0
Black Magic,,Firaja,4,BLK,Single,Magical,9.00,Fire,1.8,One single attack (9.00),Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Fire,8,15,30,45,75,,,,,,,,,,,,,Operation Mi'ihen,ファイジャ,30111004.0
Black Magic,,Blizzard,1,BLK,Single,Magical,1.50,Ice,1.8,One single attack (1.50),Y,Lowest HP% enemy,55.0,2.0,10.0,Minor Black,3,5,10,20,30,Minor Ice,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ブリザド,30111011.0
Black Magic,,Blizzara,2,BLK,Single,Magical,2.90,Ice,1.8,One single attack (2.90),Y,Lowest HP% enemy,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Ice,5,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,ブリザラ,30111012.0
Black Magic,,Blizzaga,3,BLK,Single,Magical,4.90,Ice,1.8,One single attack (4.90),Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Ice,5,15,30,45,75,,,,,,,,,,,,,Dungeons Update #2,ブリザガ,30111013.0
Black Magic,,Blizzaja,4,BLK,Single,Magical,9.00,Ice,1.8,One single attack (9.00),Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Ice,5,15,30,45,75,,,,,,,,,,,,,Operation Mi'ihen,ブリザジャ,30111014.0
Black Magic,,Thunder,1,BLK,Single,Magical,1.50,Lightning,1.8,One single attack (1.50),Y,Lowest HP% enemy,55.0,2.0,10.0,Minor Black,3,5,10,20,30,Minor Lightning,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,サンダー,30111021.0
Black Magic,,Thundara,2,BLK,Single,Magical,2.90,Lightning,1.8,One single attack (2.90),Y,Lowest HP% enemy,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Lightning,5,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,サンダラ,30111022.0
